No,Tag,Spp,Treat,Fgrp,ShootBio,RootBio,TotalBio,RS_Ratio
724,8A24,Ziju,Con,nleg,0.36,0.22,0.58,0.611111111
725,8A25,Tebe,Con,nleg,7.59,33.89,41.48,4.465085639
726,8A26,Acca,N+,leg,3.65,25.36,29.01,6.947945205
727,8A27,Tebe,N+,nleg,13.3,35.78,49.08,2.690225564
728,8A28,Tebe,NP+,nleg,6.41,17.1,23.51,2.667706708
730,8A30,Tebe,P+,nleg,2.48,14.55,17.03,5.866935484
731,8A31,Tear,NP+,nleg,6.85,11.64,18.49,1.699270073
732,8A32,Phem,Con,nleg,4.44,18.27,22.71,4.114864865
733,8A33,Phem,N+,nleg,19.93,31.39,51.32,1.575012544
734,8A34,Lain,NP+,nleg,2.33,4.44,6.77,1.905579399
736,8A36,Acle,N+,leg,7.22,11.27,18.49,1.560941828
737,8A37,Phem,NP+,nleg,22.94,40.9,63.84,1.782911944
738,8A38,Saem,Con,nleg,6.96,7.98,14.94,1.146551724
740,8A40,Acfe,Con,leg,10.85,25.62,36.47,2.361290323
741,8A41,Phem,P+,nleg,49.99,34.23,84.22,0.684736947
742,8A42,Saem,NP+,nleg,12.41,7.38,19.79,0.594681708
743,8A43,Tear,N+,nleg,20.83,34.13,54.96,1.63850216
744,8A44,Dala,Con,leg,11.6,27.93,39.53,2.407758621
747,8A47,Lain,Con,nleg,11.44,15.1,26.54,1.31993007
750,8A50,Ziju,Con,nleg,3.71,13.99,17.7,3.770889488
751,8B1,Dala,P+,leg,2.18,8.22,10.4,3.770642202
752,8B2,Tear,NP+,nleg,43.79,47.14,90.93,1.076501484
754,8B4,Acca,Con,leg,1.66,10.48,12.14,6.313253012
755,8B5,Alle,N+,leg,16.05,31.58,47.63,1.967601246
757,8B7,Phem,Con,nleg,6.93,13.79,20.72,1.98989899
758,8B8,Saem,Con,nleg,7.88,11.98,19.86,1.520304569
759,8B9,Alle,NP+,leg,9.69,36.64,46.33,3.78121775
761,8B11,Acfe,N+,leg,16.74,32.19,48.93,1.922939068
762,8B12,Alle,NP+,leg,2.66,7.76,10.42,2.917293233
763,8B13,Lasp,P+,nleg,7.75,13.87,21.62,1.789677419
764,8B14,Dala,Con,leg,3.86,20.77,24.63,5.380829016
765,8B15,Lain,N+,nleg,19.33,21.36,40.69,1.105018107
766,8B16,Alam,NP+,leg,10.63,19.57,30.2,1.841015992
767,8B17,Tear,P+,nleg,23.99,23.23,47.22,0.968320133
769,8B19,Acfe,NP+,leg,14.04,34.11,48.15,2.429487179
770,8B20,Lain,Con,nleg,8.88,10.3,19.18,1.15990991
771,8B21,Acca,NP+,leg,4.11,43.04,47.15,10.47201946
772,8B22,Dala,N+,leg,5.27,20.86,26.13,3.958254269
775,8B25,Dala,N+,leg,11.63,22.02,33.65,1.893379192
778,8B28,Tebe,Con,nleg,8.79,27.02,35.81,3.073947668
779,8B29,Ziju,NP+,nleg,14.15,23.42,37.57,1.655123675
781,8B31,Ziju,N+,nleg,5.31,9.22,14.53,1.736346516
783,8B33,Phem,N+,nleg,31.99,34.16,66.15,1.067833698
789,8B39,Ziju,NP+,nleg,8.2,4.3,12.5,0.524390244
791,8B41,Lain,P+,nleg,13.36,22.79,36.15,1.705838323
792,8B42,Acca,NP+,leg,8.89,40.7,49.59,4.578177728
794,8B44,Ziju,P+,nleg,15.56,16.73,32.29,1.075192802
795,8B45,Tebe,P+,nleg,9.41,33.05,42.46,3.512221041
796,8B46,Tear,Con,nleg,17.61,22.03,39.64,1.250993754
803,9A3,Tebe,NP+,nleg,8.92,14.32,23.24,1.605381166
806,9A6,Alam,Con,leg,6.71,9.93,16.64,1.479880775
808,9A8,Phem,N+,nleg,21.12,25.61,46.73,1.212594697
812,9A12,Acfe,NP+,leg,17.71,38.88,56.59,2.195369848
815,9A15,Acfe,NP+,leg,3.05,6.38,9.43,2.091803279
816,9A16,Acca,Con,leg,3.05,32.66,35.71,10.70819672
819,9A19,Lasp,Con,nleg,7.4,21.95,29.35,2.966216216
820,9A20,Lain,P+,nleg,7.14,13.88,21.02,1.943977591
822,9A22,Tear,NP+,nleg,19.87,29.58,49.45,1.488676397
823,9A23,Lain,N+,nleg,7.42,3.97,11.39,0.535040431
825,9A25,Tebe,Con,nleg,9.73,24.22,33.95,2.489208633
828,9A28,Phem,N+,nleg,8.53,10.72,19.25,1.256740914
829,9A29,Saem,P+,nleg,11.18,8.74,19.92,0.781753131
830,9A30,Ziju,N+,nleg,13.82,16.56,30.38,1.198263386
832,9A32,Lain,Con,nleg,5.06,13.44,18.5,2.656126482
833,9A33,Alam,NP+,leg,1.35,2.14,3.49,1.585185185
834,9A34,Acca,Con,leg,5.31,35.59,40.9,6.702448211
835,9A35,Alle,N+,leg,0.32,0.48,0.8,1.5
836,9A36,Ziju,Con,nleg,10.74,25.13,35.87,2.339851024
837,9A37,Alam,P+,leg,16.42,21.91,38.33,1.334348356
838,9A38,Lasp,NP+,nleg,19.02,31.08,50.1,1.634069401
842,9A42,Phem,P+,nleg,30.74,34.13,64.87,1.110279766
844,9A44,Saem,Con,nleg,11.81,15.29,27.1,1.294665538
845,9A45,Acle,NP+,leg,9.31,9.63,18.94,1.034371643
846,9A46,Lain,P+,nleg,10.31,15.8,26.11,1.532492726
847,9A47,Alam,P+,leg,5.78,8.93,14.71,1.544982699
849,9A49,Dala,N+,leg,13.5,32.74,46.24,2.425185185
850,9A50,Tebe,P+,nleg,6.83,11.88,18.71,1.739385066
852,9B2,Alle,NP+,leg,6.73,25.19,31.92,3.742942051
853,9B3,Dala,P+,leg,10.13,21.22,31.35,2.094768016
854,9B4,Acfe,Con,leg,7.02,10.95,17.97,1.55982906
856,9B6,Alam,Con,leg,3.84,9.81,13.65,2.5546875
858,9B8,Alam,P+,leg,0.57,1.22,1.79,2.140350877
860,9B10,Lain,P+,nleg,6.49,12.81,19.3,1.973805855
861,9B11,Ziju,N+,nleg,10.85,16.45,27.3,1.516129032
864,9B14,Acca,N+,leg,2.89,11.89,14.78,4.114186851
866,9B16,Lain,Con,nleg,8.73,17.33,26.06,1.98510882
867,9B17,Lain,Con,nleg,5.54,15.96,21.5,2.880866426
868,9B18,Alle,NP+,leg,3.93,9.66,13.59,2.458015267
869,9B19,Acfe,Con,leg,7.06,18.57,25.63,2.630311615
870,9B20,Lain,P+,nleg,9.65,11,20.65,1.139896373
871,9B21,Acfe,NP+,leg,22.49,31.63,54.12,1.406402846
872,9B22,Acca,N+,leg,4.57,16.15,20.72,3.533916849
873,9B23,Dala,Con,leg,12.86,28.05,40.91,2.18118196
874,9B24,Dala,Con,leg,13.92,29.78,43.7,2.139367816
875,9B25,Acca,P+,leg,1.75,13.6,15.35,7.771428571
877,9B27,Saem,P+,nleg,4.29,3.42,7.71,0.797202797
878,9B28,Saem,NP+,nleg,7.59,5.01,12.6,0.660079051
879,9B29,Dala,P+,leg,10.23,30.82,41.05,3.012707722
880,9B30,Dala,N+,leg,21.48,35.19,56.67,1.638268156
881,9B31,Alam,Con,leg,0.33,1.34,1.67,4.060606061
882,9B32,Tebe,NP+,nleg,38.65,56.48,95.13,1.461319534
884,9B34,Acca,Con,leg,9.8,49.63,59.43,5.064285714
886,9B36,Dala,P+,leg,14.72,42.34,57.06,2.876358696
887,9B37,Acca,Con,leg,2.2,25.33,27.53,11.51363636
889,9B39,Acfe,Con,leg,12.05,23.71,35.76,1.967634855
891,9B41,Saem,NP+,nleg,30.26,48.45,78.71,1.601123596
894,9B44,Saem,Con,nleg,9.6,14.53,24.13,1.513541667
895,9B45,Ziju,Con,nleg,7.87,11.08,18.95,1.407878018
896,9B46,Dala,Con,leg,6.51,22.77,29.28,3.497695853
897,9B47,Lasp,NP+,nleg,15.39,27.38,42.77,1.779077323
898,9B48,Dala,N+,leg,15.46,36.91,52.37,2.387451488
899,9B49,Saem,Con,nleg,8.21,8.76,16.97,1.066991474
901,10A1,Lasp,Con,nleg,6.91,17.81,24.72,2.577424023
902,10A2,Ziju,N+,nleg,18.85,22.65,41.5,1.201591512
904,10A4,Tear,Con,nleg,16.14,31.24,47.38,1.935563817
905,10A5,Ziju,P+,nleg,5.06,18.81,23.87,3.717391304
906,10A6,Dala,Con,leg,7.8,26.6,34.4,3.41025641
907,10A7,Acfe,NP+,leg,5.39,15.12,20.51,2.805194805
908,10A8,Phem,NP+,nleg,10.47,15.69,26.16,1.498567335
910,10A10,Dala,P+,leg,11.98,23.63,35.61,1.97245409
911,10A11,Alam,N+,leg,17.73,19.66,37.39,1.108855048
914,10A14,Saem,Con,nleg,3.21,3.9,7.11,1.214953271
915,10A15,Saem,P+,nleg,4.34,4.5,8.84,1.036866359
917,10A17,Acfe,NP+,leg,32.38,36.51,68.89,1.127547869
919,10A19,Ziju,P+,nleg,5.19,5.4,10.59,1.040462428
921,10A21,Dala,NP+,leg,16.31,29.3,45.61,1.796443899
922,10A22,Tebe,N+,nleg,4.71,19.08,23.79,4.050955414
923,10A23,Tebe,NP+,nleg,8.24,34.35,42.59,4.16868932
