No,Tag,Spp,Treat,Fgrp,ShootBio,RootBio,TotalBio,RS_Ratio
385,4B35,Lain,N+,nleg,12.21,21.16,33.37,1.733005733
386,4B36,Phem,NP+,nleg,3.14,4.51,7.65,1.436305732
387,4B37,Lasp,N+,nleg,40.59,35.65,76.24,0.878295147
389,4B39,Tebe,Con,nleg,4.85,19.28,24.13,3.975257732
390,4B40,Tebe,N+,nleg,13.57,41.15,54.72,3.032424466
391,4B41,Saem,N+,nleg,26.55,27.98,54.53,1.05386064
392,4B42,Acfe,Con,leg,19.12,31.83,50.95,1.664748954
393,4B43,Tebe,P+,nleg,4.65,17.89,22.54,3.847311828
394,4B44,Phem,Con,nleg,3.43,10.05,13.48,2.930029155
395,4B45,Alam,Con,leg,11.05,15.9,26.95,1.438914027
396,4B46,Alam,P+,leg,6.82,12.89,19.71,1.890029326
397,4B47,Dala,NP+,leg,8.65,19.84,28.49,2.293641618
399,4B49,Dala,Con,leg,3.94,16.17,20.11,4.104060914
401,5A1,Acfe,N+,leg,14.02,13.68,27.7,0.97574893
402,5A2,Saem,N+,nleg,11.91,23.29,35.2,1.95549958
404,5A4,Ziju,NP+,nleg,12.7,14.14,26.84,1.113385827
406,5A6,Acca,NP+,leg,14.59,47.26,61.85,3.239204935
408,5A8,Acca,Con,leg,3.02,17.17,20.19,5.685430464
410,5A10,Ziju,P+,nleg,12.07,12.99,25.06,1.076222038
411,5A11,Ziju,N+,nleg,7.06,6.46,13.52,0.915014164
412,5A12,Acfe,P+,leg,8.58,32.62,41.2,3.801864802
413,5A13,Ziju,Con,nleg,5.29,4.87,10.16,0.920604915
414,5A14,Phem,NP+,nleg,24.05,26.56,50.61,1.104365904
415,5A15,Alam,NP+,leg,3.08,6.65,9.73,2.159090909
417,5A17,Dala,NP+,leg,3.61,11.02,14.63,3.052631579
418,5A18,Dala,P+,leg,1.96,5.71,7.67,2.913265306
420,5A20,Tebe,P+,nleg,1.71,7.23,8.94,4.228070175
422,5A22,Lasp,P+,nleg,5.55,9.22,14.77,1.661261261
423,5A23,Ziju,Con,nleg,4.84,5.4,10.24,1.115702479
424,5A24,Acca,P+,leg,5.37,28.25,33.62,5.260707635
425,5A25,Alam,Con,leg,4.07,5.33,9.4,1.30958231
427,5A27,Ziju,P+,nleg,6.48,7.27,13.75,1.12191358
428,5A28,Tebe,Con,nleg,8.7,24.98,33.68,2.871264368
429,5A29,Ziju,P+,nleg,6.31,6.17,12.48,0.977812995
430,5A30,Tear,Con,nleg,12.02,19.31,31.33,1.606489185
431,5A31,Acca,Con,leg,3.52,14.09,17.61,4.002840909
432,5A32,Ziju,Con,nleg,6.97,5.21,12.18,0.74748924
433,5A33,Tear,NP+,nleg,18.91,26.28,45.19,1.389740878
435,5A35,Tebe,N+,nleg,5.08,12.6,17.68,2.480314961
437,5A37,Tear,Con,nleg,25.35,26.34,51.69,1.039053254
438,5A38,Acfe,P+,leg,26.13,32.4,58.53,1.239954076
439,5A39,Tebe,P+,nleg,10.18,22.88,33.06,2.247544204
440,5A40,Alam,P+,leg,6.38,9.57,15.95,1.5
441,5A41,Ziju,P+,nleg,17.31,14.85,32.16,0.857885615
446,5A46,Phem,N+,nleg,75.64,58.17,133.81,0.769037546
447,5A47,Acfe,P+,leg,9.22,18.59,27.81,2.01626898
448,5A48,Acfe,P+,leg,35.56,49.13,84.69,1.381608549
449,5A49,Phem,Con,nleg,19.12,29.17,48.29,1.525627615
451,5B1,Tear,P+,nleg,17.62,27.53,45.15,1.562429058
452,5B2,Acfe,N+,leg,14.68,21.77,36.45,1.482970027
455,5B5,Lasp,NP+,nleg,14.7,23.98,38.68,1.631292517
456,5B6,Acle,P+,leg,8.44,13.88,22.32,1.644549763
458,5B8,Ziju,N+,nleg,9.36,8.19,17.55,0.875
459,5B9,Tebe,P+,nleg,1.68,15.05,16.73,8.958333333
462,5B12,Tear,Con,nleg,19.88,18.1,37.98,0.910462777
464,5B14,Lain,P+,nleg,5.79,7.49,13.28,1.293609672
466,5B16,Dala,Con,leg,6.64,15.42,22.06,2.322289157
467,5B17,Saem,P+,nleg,5.84,6.29,12.13,1.077054795
468,5B18,Phem,Con,nleg,17.1,20.14,37.24,1.177777778
469,5B19,Tebe,N+,nleg,1.55,4.02,5.57,2.593548387
472,5B22,Acfe,Con,leg,10.48,16.43,26.91,1.567748092
474,5B24,Lain,NP+,nleg,23.29,20.25,43.54,0.869471876
475,5B25,Phem,N+,nleg,5.48,16.27,21.75,2.968978102
476,5B26,Saem,Con,nleg,4.67,4.45,9.12,0.952890792
477,5B27,Tear,N+,nleg,19.83,21.58,41.41,1.088250126
478,5B28,Saem,P+,nleg,11.61,22.5,34.11,1.937984496
479,5B29,Phem,P+,nleg,4.74,14.22,18.96,3
481,5B31,Acle,N+,leg,8.44,8.05,16.49,0.953791469
483,5B33,Lain,P+,nleg,7.1,15.87,22.97,2.235211268
484,5B34,Tebe,P+,nleg,2,11.72,13.72,5.86
485,5B35,Acle,NP+,leg,2.4,2.52,4.92,1.05
486,5B36,Acca,P+,leg,2.81,18.58,21.39,6.612099644
487,5B37,Alle,N+,leg,17.55,30.46,48.01,1.735612536
488,5B38,Dala,NP+,leg,12.82,24.76,37.58,1.931357254
489,5B39,Tebe,P+,nleg,16.04,35.08,51.12,2.187032419
490,5B40,Tebe,N+,nleg,12.86,38.47,51.33,2.991446345
491,5B41,Lain,Con,nleg,3.72,7.6,11.32,2.043010753
494,5B44,Acfe,P+,leg,8.84,17.26,26.1,1.952488688
496,5B46,Tear,P+,nleg,14.92,22.68,37.6,1.520107239
498,5B48,Saem,NP+,nleg,14.6,11.91,26.51,0.815753425
499,5B49,Tear,Con,nleg,15.71,20.5,36.21,1.304901337
502,6A2,Acle,P+,leg,4.67,10.61,15.28,2.271948608
503,6A3,Phem,NP+,nleg,36.96,34.63,71.59,0.936958874
504,6A4,Acfe,N+,leg,6.22,21.66,27.88,3.482315113
505,6A5,Dala,NP+,leg,13.05,20.2,33.25,1.54789272
506,6A6,Tebe,NP+,nleg,21.8,45.87,67.67,2.10412844
507,6A7,Alle,NP+,leg,1.24,1.28,2.52,1.032258065
509,6A9,Phem,P+,nleg,3.61,13.08,16.69,3.623268698
510,6A10,Acfe,Con,leg,16.39,34.24,50.63,2.089078707
511,6A11,Lasp,NP+,nleg,23.78,31.4,55.18,1.320437342
513,6A13,Lasp,NP+,nleg,15.14,27.41,42.55,1.810435931
514,6A14,Phem,N+,nleg,27.38,27.22,54.6,0.994156318
516,6A16,Acca,NP+,leg,2.88,34.11,36.99,11.84375
520,6A20,Alle,Con,leg,5.91,19.59,25.5,3.314720812
521,6A21,Acle,Con,leg,8.12,16.26,24.38,2.002463054
522,6A22,Phem,P+,nleg,4.79,10.67,15.46,2.227557411
523,6A23,Dala,P+,leg,7.79,27.87,35.66,3.577663671
524,6A24,Acca,NP+,leg,5.61,31.38,36.99,5.593582888
525,6A25,Acfe,N+,leg,6.71,14.88,21.59,2.217585693
526,6A26,Tebe,Con,nleg,2.82,19.17,21.99,6.79787234
527,6A27,Phem,Con,nleg,7.69,13.42,21.11,1.745123537
528,6A28,Tear,N+,nleg,14.14,16.19,30.33,1.144978784
529,6A29,Lasp,Con,nleg,9.14,16.29,25.43,1.782275711
532,6A32,Phem,Con,nleg,12.15,19.96,32.11,1.642798354
533,6A33,Saem,Con,nleg,6.37,11.89,18.26,1.866562009
534,6A34,Dala,P+,leg,9.68,30.98,40.66,3.200413223
537,6A37,Acle,Con,leg,0.71,0.74,1.45,1.042253521
539,6A39,Lasp,N+,nleg,23.71,37.93,61.64,1.599746942
540,6A40,Acca,N+,leg,9.54,42.38,51.92,4.442348008
541,6A41,Saem,N+,nleg,39.35,32.94,72.29,0.837102922
542,6A42,Acfe,NP+,leg,28.47,49.81,78.28,1.749560941
543,6A43,Dala,N+,leg,21.03,35.62,56.65,1.693770804
544,6A44,Tear,Con,nleg,13.19,19.19,32.38,1.454890068
546,6A46,Acfe,NP+,leg,6.71,11.88,18.59,1.770491803
547,6A47,Alle,N+,leg,12.86,29.42,42.28,2.287713841
548,6A48,Lasp,N+,nleg,21.44,26.81,48.25,1.250466418
549,6A49,Tear,NP+,nleg,43.51,39.49,83,0.907607447
550,6A50,Dala,Con,leg,10.35,28.97,39.32,2.799033816
551,6B1,Saem,N+,nleg,11.39,9.49,20.88,0.833187006
553,6B3,Saem,P+,nleg,12.45,14.98,27.43,1.203212851
556,6B6,Lasp,NP+,nleg,26.76,22.23,48.99,0.830717489
558,6B8,Acca,N+,leg,2.59,13.02,15.61,5.027027027
559,6B9,Saem,N+,nleg,28.52,33.91,62.43,1.188990182
561,6B11,Acfe,P+,leg,19.16,26.61,45.77,1.388830898
562,6B12,Saem,NP+,nleg,20.76,14.27,35.03,0.687379576
564,6B14,Dala,P+,leg,2.22,9.24,11.46,4.162162162
566,6B16,Lain,NP+,nleg,16.93,15.07,32,0.890135854
567,6B17,Ziju,N+,nleg,21.05,17.71,38.76,0.841330166
568,6B18,Acfe,P+,leg,7.74,10.05,17.79,1.298449612
569,6B19,Acfe,P+,leg,7.67,17.15,24.82,2.235984355
571,6B21,Dala,Con,leg,14.32,29.34,43.66,2.048882682
572,6B22,Tebe,Con,nleg,5.6,26.82,32.42,4.789285714
573,6B23,Lasp,Con,nleg,11.56,12.85,24.41,1.111591696
574,6B24,Acca,P+,leg,4.3,25.37,29.67,5.9
576,6B26,Tear,N+,nleg,10.46,14.94,25.4,1.428298279
577,6B27,Lain,NP+,nleg,12.62,22.1,34.72,1.75118859
