Sample,treatment,OTU_1,OTU_2,OTU_3,OTU_4,OTU_466,OTU_7,OTU_5,OTU_6,OTU_138,OTU_9,OTU_15,OTU_21,OTU_12,OTU_8,OTU_29,OTU_316,OTU_14,OTU_23,OTU_28,OTU_11,OTU_10,OTU_20,OTU_116,OTU_18,OTU_17,OTU_262,OTU_31,OTU_13,OTU_30,OTU_16,OTU_19,OTU_293,OTU_25,OTU_27,OTU_26,OTU_42,OTU_43,OTU_22,OTU_495,OTU_24,OTU_34,OTU_334,OTU_603,OTU_37,OTU_32,OTU_41,OTU_36,OTU_33,OTU_47,OTU_35,OTU_49,OTU_38,OTU_53,OTU_48,OTU_54,OTU_40,OTU_39,OTU_668,OTU_46,OTU_64,OTU_56,OTU_44,OTU_57,OTU_45,OTU_51,OTU_58,OTU_59,OTU_63,OTU_60,OTU_74,OTU_341,OTU_69,OTU_52,OTU_172,OTU_71,OTU_62,OTU_67,OTU_50,OTU_333,OTU_114,OTU_65,OTU_84,OTU_55,OTU_75,OTU_73,OTU_85,OTU_66,OTU_61,OTU_70,OTU_92,OTU_77,OTU_103,OTU_86,OTU_80,OTU_81,OTU_68,OTU_78,OTU_99,OTU_91,OTU_112,OTU_90,OTU_89,OTU_97,OTU_420,OTU_76,OTU_117,OTU_100,OTU_79,OTU_106,OTU_83,OTU_101,OTU_105,OTU_110,OTU_88,OTU_93,OTU_82,OTU_617,OTU_115,OTU_270,OTU_109,OTU_236,OTU_102,OTU_108,OTU_148,OTU_136,OTU_754,OTU_130,OTU_122,OTU_164,OTU_119,OTU_134,OTU_125,OTU_133,OTU_123,OTU_120,OTU_128,OTU_132,OTU_192,OTU_135,OTU_129,OTU_179,OTU_643,OTU_139,OTU_159,OTU_168,OTU_147,OTU_197,OTU_140,OTU_131,OTU_366,OTU_300,OTU_150,OTU_158,OTU_161,OTU_155,OTU_173,OTU_445,OTU_204,OTU_194,OTU_137,OTU_198,OTU_464,OTU_200,OTU_181,OTU_205,OTU_268,OTU_193,OTU_242,OTU_177,OTU_237,OTU_232,OTU_287,OTU_259,OTU_249,OTU_308,OTU_255,OTU_286,OTU_310,OTU_167,OTU_398,OTU_319,OTU_459,OTU_165
C19,N,25.78444171,8.558076079,16.28955112,0,3.030870472,0,0,0.011021347,0.170830881,0,21.238136,0.347172436,4.331389439,1.554009951,1.609116687,0.457385908,0,1.063560002,1.587073993,2.821464876,0.771494302,0,0,0.672302178,0,0,2.567973891,0.159809534,0.148788187,0,3.240276069,0,0,0.727408913,0,2.468781767,0,0,1.317050987,0,0,0.049596062,0,0,0,0,0,0,0,0,0.110213472,0,0,0,0,0,0.126745492,0,0,0,0,0,0.435343213,0,0,0,0,0,0,0.440853887,0.038574715,0,0,0,0,0,0.170830881,0,0.011021347,0,0,0,0,0,0,0,0,0,0,0,0.545556685,0,0,0,0,0,0,0,0,0.016532021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016532021,0,0,0,0,0.088170777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C20,NS,19.1910743,5.367435904,42.48461979,3.42666812,1.953763997,0.246928044,0,5.0252023,0.038988639,6.554423344,3.101762799,0.918399041,0,2.231016538,0.290248754,0.086641419,13.68501212,8.889409585,4.193444678,0,0,0,3.119091082,6.476446067,0,2.031741275,5.042530583,0,3.279377708,0,1.347274065,0.030324497,0,0.22959976,0,0.931395254,0.290248754,0.147290412,0,0,0.446203308,0.025992426,0,0,0,0,0,0,0,0,0.164618696,13.27779746,0,0,0,0,0,0,0.372558102,2.417295589,0.329237392,0,0.246928044,0,0,0,0,0,0,0.281584612,0,0.32057325,0,0,0.372558102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021660355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021660355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C21,S,45.72466589,9.530867445,17.62694237,5.205128205,9.007506401,5.09119927,0,15.98565365,0.056964467,2.331982883,12.63187064,0.850906731,8.160159949,3.667087586,2.054281104,0.366708759,12.19751657,4.201129468,4.756533025,0.060524747,0.893630082,0.210056473,0.064085026,2.890946719,0,2.396067908,13.20151531,0,3.891385177,0,0,0.074765863,1.491756989,0,4.571398506,0,0.242098986,0,0.708495563,0,0.121049493,0.039163071,0,0,0.961275387,0,0,0.024921954,6.041793819,0,0.605247466,0,0,0,0,0,0.245659265,0,0,0,0,0,0.256340103,2.093444176,0,0,0,0,0,0.996878179,0.024921954,0,0.345347083,0,0,0,0.238538707,0,0.032042513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056964467,0,0,0,0,0,0.58388579,0,0,0,0,0.021361675,0.04628363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C22,NS,39.4372489,10.69780023,39.59405704,31.02187836,4.377560762,4.965591312,0,8.367456939,4.455964836,2.84432555,0,0.557540077,5.719141573,9.957317316,0,0.104538764,0.074048291,3.754683957,7.918811409,12.79728708,0,0,0.052269382,4.778292693,5.719141573,0,7.126059111,2.404391583,1.55065834,0,0,0.200365965,0,0.557540077,0.94084888,1.132503282,0.70563666,0.143740801,0.82324277,0,0.091471419,0.104538764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.91401806,0,0,0,0,0,0,0,0,0.335395203,0,1.032320299,0.095827201,0,0.087115637,0,0.370241457,0,0,0,0.034846255,0.566251641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087115637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182942838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06969251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11760611,0,0,0,0,0,0
C23,LN,38.07103796,6.272678533,23.20694832,6.197458718,1.02037315,4.434698692,18.35690543,19.48193223,0.228929873,9.108138537,18.4026914,0,4.169794124,2.593448424,2.158481664,0.287797555,0,7.531792837,5.360229466,0,0,2.58690757,0.44477804,1.301629852,2.645775252,1.520748445,0,0.791443277,0.850310959,1.059618271,0,2.606530131,0,0,0,0.170062192,0.098112803,0,0,0.837229252,0,0.107924083,0,0,0,0,0,0,0,0,0.192955179,0,0.107924083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140628351,0.238741154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071949389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173332618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039245121,0,0,0,0,0,0,0,0,0,0.068678962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C24,LS,81.79556684,26.84047229,67.07861405,134.9175519,0.451333773,17.27566811,35.93658372,24.09080808,0.746436624,118.4230384,19.59482934,1.31233974,26.19124602,13.1199256,0,0.208307895,37.57874429,22.12229847,39.23132026,13.00188446,1.010293292,0.982518906,0.7950418,9.311362915,16.13344648,19.71287048,1.704652942,0.107625746,6.870688743,0.322877238,21.89663158,12.04019634,0,0.315933641,2.339992023,4.218234878,12.82829455,5.100071634,0.395785001,0,12.27975042,0,0,0,0,0.461749168,0.753380221,0,5.499328433,3.447495665,0.909611142,0,2.322633031,8.769762387,0,0,0,0,0,3.405834086,0.545072326,0,0,6.426298567,0,0,0,1.145693424,0,0.111097544,0,0,0.124984737,0,0,0,3.162808209,0,0.104153948,0.090266755,0,0.829759782,0,0,0,0,0,0,0,0,0,0,3.114203033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.631867282,0,0,0,0,0,0,0,0,0,0,0,0.506882545,0,0,0,0,0,1.027652283,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093738553,0,0,0,0,0,0,0,0.263856667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C25,N,44.88823859,15.04759651,38.56446615,9.171106425,5.781942592,4.421913328,1.080023239,10.37476869,0.581830701,0.101820373,3.185523088,0.109093256,0,3.465529113,1.887313336,0.54182984,0,1.450940311,0.952747773,0,0.330916211,0.490919654,0,2.636420364,0,1.16002496,5.840125662,0.254550932,2.181865129,0,0,0,0,0.861836726,0,2.890971296,0,0,0.265460257,0,0,0.072728838,0,0,0,0,0,0,0,0,0.48364677,0,0,0,0,0,0,0,0,0,0,0,0.050910186,0,2.265503292,0,0,0,0,0,0.05818307,0,0.236368722,0,6.421956363,0,0,0,0.080001721,0,0,0,0,0,0,0,0,0,0,0,0,0,0.294551792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.429100142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036364419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C26,LNS,153.9089831,11.33733604,34.41470037,118.7446556,2.595816284,8.060040537,0,22.91009216,0.771310566,50.12899155,39.13239512,8.657883667,18.48667253,20.54350071,0,0.130100577,22.85123714,12.82110215,24.04072813,0,9.330069984,0,0,5.98152893,12.51753413,28.34024246,2.732112127,0.074343187,6.548395732,0,0,0,0,0,0.563769169,0.805384527,0.446059123,2.735209759,0.916899308,0,1.254541283,0,0,0,0,3.370224483,3.847259933,0,0,0.665991051,0.216834296,0,0,0,0.390301732,0,0.356227772,0,0,0,0.185857968,0,1.108952541,0,2.874603235,0,0,0,2.794064783,0.879727714,0.071245554,0,0.433668592,0,0.600940763,0,0.672186317,0,0.096026617,0,0,0,0,0,0,0,0,0,0,0,4.767256874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23232246,0,0.501816513,0,0,0,0,0,0,0,0,0.102221882,0,0,0,0,0,0,0,0,0,0.111514781,0,0,0,0.740334238,0,0,0,0,0.297372748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.455352021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C27,S,33.35213592,8.679320388,24.1676699,4.446116505,0.864174757,3.314757282,0,24.06330097,0,1.469514563,15.91417476,1.423592233,0,2.751165049,0.914271845,0.146116505,6.875825243,0.734757282,3.978543689,3.907572816,0.780679612,0,0,1.486213592,1.102135922,2.630097087,1.377669903,0.121067961,0.801553398,0,5.464757282,0,1.67407767,0,0,0.463398058,0.300582524,0,0,0,0,0,0,1.67407767,0,0,0,0,0,0,0.096019417,0,0,0,0,0,0,0,0,4.045339806,0,0,0,0,3.769805825,0,0,0,0,0.375728155,0,0,0,0.096019417,0,0,0,0,0,0.830776699,0,0,0,0,0,2.834660194,0,0,0.505145631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.392427184,0,0,0,3.247961165,0.588640777,0.212912621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050097087,0,0
C28,C,20.78254758,6.74453936,43.6111051,0.280222751,5.8808391,0.180417388,0.08828936,6.264705882,2.683228806,0,20.4101968,0.072934689,0,4.68317474,3.669766436,0.107482699,0,4.391435986,0.042225346,1.512435121,0.426092128,2.314716696,0,3.059418253,0,0,3.62754109,0.468317474,0.019193339,1.044117647,0,0,0,0,0,0.195772059,0,0,0,0.076773356,0,0.08828936,0,0,0,0,0.042225346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015354671,4.571853374,0,0,0.610348183,0.030709343,0,0,0,1.113213668,0,0,0,0.015354671,0,0,0,0,0,0.019193339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.404952422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.385759083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C29,LNS,63.77658874,3.237018055,38.75691844,35.10785278,3.966831187,2.657357864,0,42.83549135,0.611087551,20.02970395,28.16939013,0.785683994,55.98609545,9.292022702,0,1.068530232,3.956355401,10.33960136,17.42821695,3.317332419,0.041903146,0,0,1.162812311,0.076822435,4.808386043,8.520306424,0,2.409430915,0,3.851597535,0,12.64776634,0,0,0.789175923,1.815803008,0.544740902,0.8590145,0,2.077697673,0.041903146,0.321257455,0,0,0.562200547,0,0,0,0.98123201,0.254910807,0,0,0,0.055870862,0,0,0,0,1.236142817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059362791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.169796169,0,0,0,0,0,0,0,0,0,0,0,0.237451163,0,0,0.041903146,0.083806293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.230467305,0,0,0,0,0.453950752,0,0,0.06285472,0,0,0.048887004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
