unit,site,block,name,plot,seed.total,seed.nassella,seed.bromus,seed.elymus,ntrt,dist,year,taxa,mass
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,0,2005,EREMOCARPUS SETIGERUS,0.0102
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,0,2004,ERODIUM BOTRYS,12.63
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,0,2006,HYPOCHAERIS GLABRA,0.1627
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,0,2005,TRIFOLIUM HIRTUM,1.8
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,0,2005,GALIUM APARINE,0.1179
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,0,2006,CLARKIA PURPUREA,5.26
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,0,2006,TRIFOLIUM GRACILENTUM,0.0088
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,0,2006,CERASTIUM GLOMERATUM,0.6506
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,0,2004,BROMUS DIANDRUS,0.155
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,0,2005,ERODIUM BOTRYS,43.580002
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,0,2005,GILIA ACHILLEIFOLIA,1.89
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,0,2004,TRIFOLIUM SPECIES,0.2595
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,0,2005,LITTER,32.599998
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,0,2006,AVENA BARBATA,0.015
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,0,2006,CALANDRINIA CILIATA,0.5837
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,0,2004,AVENA BARBATA,10.24
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,0,2006,TRIFOLIUM HIRTUM,0.29
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,0,2006,BROMUS HORDEACEUS,0.107
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,0,2006,LOTUS PURSHIANUS,0.0214
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,0,2006,GILIA CLIVORUM,0.0064
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,0,2006,LITTER,18.950001
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,0,2004,LITTER,50.830002
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,0,2005,CLARKIA PURPUREA,8.76
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,0,2006,AVENA FATUA,4.18
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,0,2006,FILAGO GALLICA,0.0569
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,0,2005,BROMUS DIANDRUS,0.124
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,0,2007,UNSORTED BIOMASS,74.190002
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,0,2006,EREMOCARPUS SETIGERUS,0.0162
7,HASTINGS ,A ,ROBERTSON HOUSE ,7,0,0,0,0,+C ,1,2006,FILAGO GALLICA,0.32
7,HASTINGS ,A ,ROBERTSON HOUSE ,7,0,0,0,0,+C ,1,2004,AVENA BARBATA,4.42
7,HASTINGS ,A ,ROBERTSON HOUSE ,7,0,0,0,0,+C ,1,2004,HYPOCHAERIS GLABRA,0.1259
7,HASTINGS ,A ,ROBERTSON HOUSE ,7,0,0,0,0,+C ,1,2005,DAUCUS CAROTA,0.2745
7,HASTINGS ,A ,ROBERTSON HOUSE ,7,0,0,0,0,+C ,1,2005,AVENA BARBATA,1.6498
7,HASTINGS ,A ,ROBERTSON HOUSE ,7,0,0,0,0,+C ,1,2004,BROMUS DIANDRUS,0.5353
7,HASTINGS ,A ,ROBERTSON HOUSE ,7,0,0,0,0,+C ,1,2005,CLARKIA PURPUREA,2.7729
7,HASTINGS ,A ,ROBERTSON HOUSE ,7,0,0,0,0,+C ,1,2005,TRIFOLIUM ALBOPURPUREUM,4.69
7,HASTINGS ,A ,ROBERTSON HOUSE ,7,0,0,0,0,+C ,1,2006,DICHELOSTEMMA CAPITATUM,0.0173
7,HASTINGS ,A ,ROBERTSON HOUSE ,7,0,0,0,0,+C ,1,2006,BROMUS HORDEACEUS,0.0308
7,HASTINGS ,A ,ROBERTSON HOUSE ,7,0,0,0,0,+C ,1,2004,BROMUS HORDEACEUS,0.1552
7,HASTINGS ,A ,ROBERTSON HOUSE ,7,0,0,0,0,+C ,1,2005,GILIA CLIVORUM,0.2549
7,HASTINGS ,A ,ROBERTSON HOUSE ,7,0,0,0,0,+C ,1,2004,TRIFOLIUM MICROCEPHALUM,2.9519
7,HASTINGS ,A ,ROBERTSON HOUSE ,7,0,0,0,0,+C ,1,2005,TRIFOLIUM GRACILENTUM,1.4499
7,HASTINGS ,A ,ROBERTSON HOUSE ,7,0,0,0,0,+C ,1,2005,LOTUS STRIGOSUS,0.148
7,HASTINGS ,A ,ROBERTSON HOUSE ,7,0,0,0,0,+C ,1,2006,GALIUM APARINE,1.86
7,HASTINGS ,A ,ROBERTSON HOUSE ,7,0,0,0,0,+C ,1,2005,AIRA CARYOPHYLLEA,0.0025
7,HASTINGS ,A ,ROBERTSON HOUSE ,7,0,0,0,0,+C ,1,2006,EREMOCARPUS SETIGERUS,0.0317
7,HASTINGS ,A ,ROBERTSON HOUSE ,7,0,0,0,0,+C ,1,2006,TRIFOLIUM HIRTUM,1.28
7,HASTINGS ,A ,ROBERTSON HOUSE ,7,0,0,0,0,+C ,1,2006,DAUCUS SPECIES,0.039
7,HASTINGS ,A ,ROBERTSON HOUSE ,7,0,0,0,0,+C ,1,2006,SILENE GALLICA,0.2822
7,HASTINGS ,A ,ROBERTSON HOUSE ,7,0,0,0,0,+C ,1,2006,CLARKIA PURPUREA,2.53
7,HASTINGS ,A ,ROBERTSON HOUSE ,7,0,0,0,0,+C ,1,2005,LITTER,12.23
7,HASTINGS ,A ,ROBERTSON HOUSE ,7,0,0,0,0,+C ,1,2004,ERODIUM BOTRYS,14.99
7,HASTINGS ,A ,ROBERTSON HOUSE ,7,0,0,0,0,+C ,1,2005,LUPINUS BICOLOR,11.71
7,HASTINGS ,A ,ROBERTSON HOUSE ,7,0,0,0,0,+C ,1,2005,EREMOCARPUS SETIGERUS,0.038
7,HASTINGS ,A ,ROBERTSON HOUSE ,7,0,0,0,0,+C ,1,2005,FILAGO GALLICA,0.7469
7,HASTINGS ,A ,ROBERTSON HOUSE ,7,0,0,0,0,+C ,1,2004,LACTUCA SERRIOLA,0.0089
7,HASTINGS ,A ,ROBERTSON HOUSE ,7,0,0,0,0,+C ,1,2005,BROMUS HORDEACEUS,0.4432
7,HASTINGS ,A ,ROBERTSON HOUSE ,7,0,0,0,0,+C ,1,2006,HYPOCHAERIS GLABRA,0.1116
7,HASTINGS ,A ,ROBERTSON HOUSE ,7,0,0,0,0,+C ,1,2006,LITTER,23.52
7,HASTINGS ,A ,ROBERTSON HOUSE ,7,0,0,0,0,+C ,1,2006,GILIA CLIVORUM,0.0592
7,HASTINGS ,A ,ROBERTSON HOUSE ,7,0,0,0,0,+C ,1,2006,TRIFOLIUM GRACILENTUM,0.0295
7,HASTINGS ,A ,ROBERTSON HOUSE ,7,0,0,0,0,+C ,1,2005,SILENE GALLICA,2.5208
7,HASTINGS ,A ,ROBERTSON HOUSE ,7,0,0,0,0,+C ,1,2005,NAVARRETIA ATRACTYLOIDES,0.0254
7,HASTINGS ,A ,ROBERTSON HOUSE ,7,0,0,0,0,+C ,1,2006,AVENA BARBATA,9.22
7,HASTINGS ,A ,ROBERTSON HOUSE ,7,0,0,0,0,+C ,1,2005,HYPOCHAERIS GLABRA,0.5103
7,HASTINGS ,A ,ROBERTSON HOUSE ,7,0,0,0,0,+C ,1,2006,ERODIUM BOTRYS,23.25
7,HASTINGS ,A ,ROBERTSON HOUSE ,7,0,0,0,0,+C ,1,2004,LITTER,75.650002
7,HASTINGS ,A ,ROBERTSON HOUSE ,7,0,0,0,0,+C ,1,2006,BROMUS DIANDRUS,1.34
7,HASTINGS ,A ,ROBERTSON HOUSE ,7,0,0,0,0,+C ,1,2007,UNSORTED BIOMASS,55.540001
7,HASTINGS ,A ,ROBERTSON HOUSE ,7,0,0,0,0,+C ,1,2004,LOTUS SPECIES,0.0197
7,HASTINGS ,A ,ROBERTSON HOUSE ,7,0,0,0,0,+C ,1,2005,BROMUS DIANDRUS,0.0924
7,HASTINGS ,A ,ROBERTSON HOUSE ,7,0,0,0,0,+C ,1,2005,ERODIUM BOTRYS,17.030001
7,HASTINGS ,A ,ROBERTSON HOUSE ,7,0,0,0,0,+C ,1,2004,CLARKIA PURPUREA,0.2846
9,HASTINGS ,A ,ROBERTSON HOUSE ,9,0,0,0,0,CONTROL ,1,2006,CERASTIUM GLOMERATUM,0.1505
9,HASTINGS ,A ,ROBERTSON HOUSE ,9,0,0,0,0,CONTROL ,1,2006,HYPOCHAERIS GLABRA,0.2204
9,HASTINGS ,A ,ROBERTSON HOUSE ,9,0,0,0,0,CONTROL ,1,2006,ERODIUM BOTRYS,3.25
9,HASTINGS ,A ,ROBERTSON HOUSE ,9,0,0,0,0,CONTROL ,1,2005,GALIUM APARINE,0.0279
9,HASTINGS ,A ,ROBERTSON HOUSE ,9,0,0,0,0,CONTROL ,1,2005,LUPINUS SPECIES,1.2
9,HASTINGS ,A ,ROBERTSON HOUSE ,9,0,0,0,0,CONTROL ,1,2005,SILENE GALLICA,0.1599
9,HASTINGS ,A ,ROBERTSON HOUSE ,9,0,0,0,0,CONTROL ,1,2006,TRIFOLIUM HIRTUM,0.78
9,HASTINGS ,A ,ROBERTSON HOUSE ,9,0,0,0,0,CONTROL ,1,2005,TRIFOLIUM HIRTUM,36.48
9,HASTINGS ,A ,ROBERTSON HOUSE ,9,0,0,0,0,CONTROL ,1,2006,LOTUS PURSHIANUS,0.1495
9,HASTINGS ,A ,ROBERTSON HOUSE ,9,0,0,0,0,CONTROL ,1,2006,GALIUM APARINE,0.286
9,HASTINGS ,A ,ROBERTSON HOUSE ,9,0,0,0,0,CONTROL ,1,2006,FILAGO GALLICA,0.151
9,HASTINGS ,A ,ROBERTSON HOUSE ,9,0,0,0,0,CONTROL ,1,2006,LITTER,32.259998
9,HASTINGS ,A ,ROBERTSON HOUSE ,9,0,0,0,0,CONTROL ,1,2005,CERASTIUM GLOMERATUM,0.0407
9,HASTINGS ,A ,ROBERTSON HOUSE ,9,0,0,0,0,CONTROL ,1,2006,AVENA FATUA,16.98
9,HASTINGS ,A ,ROBERTSON HOUSE ,9,0,0,0,0,CONTROL ,1,2006,CLARKIA PURPUREA,8.7
9,HASTINGS ,A ,ROBERTSON HOUSE ,9,0,0,0,0,CONTROL ,1,2005,LITTER,32.98
9,HASTINGS ,A ,ROBERTSON HOUSE ,9,0,0,0,0,CONTROL ,1,2005,TRIFOLIUM GRACILENTUM,0.0426
9,HASTINGS ,A ,ROBERTSON HOUSE ,9,0,0,0,0,CONTROL ,1,2006,AIRA CARYOPHYLLEA,0.0013
9,HASTINGS ,A ,ROBERTSON HOUSE ,9,0,0,0,0,CONTROL ,1,2005,AIRA CARYOPHYLLEA,0.0605
9,HASTINGS ,A ,ROBERTSON HOUSE ,9,0,0,0,0,CONTROL ,1,2005,ERODIUM BOTRYS,16.65
9,HASTINGS ,A ,ROBERTSON HOUSE ,9,0,0,0,0,CONTROL ,1,2006,BROMUS DIANDRUS,0.2932
9,HASTINGS ,A ,ROBERTSON HOUSE ,9,0,0,0,0,CONTROL ,1,2006,DAUCUS SPECIES,0.5596
9,HASTINGS ,A ,ROBERTSON HOUSE ,9,0,0,0,0,CONTROL ,1,2005,CLARKIA PURPUREA,3.28
9,HASTINGS ,A ,ROBERTSON HOUSE ,9,0,0,0,0,CONTROL ,1,2005,GILIA ACHILLEIFOLIA,0.1222
9,HASTINGS ,A ,ROBERTSON HOUSE ,9,0,0,0,0,CONTROL ,1,2005,BROMUS HORDEACEUS,0.0583
9,HASTINGS ,A ,ROBERTSON HOUSE ,9,0,0,0,0,CONTROL ,1,2005,FILAGO GALLICA,0.0625
9,HASTINGS ,A ,ROBERTSON HOUSE ,9,0,0,0,0,CONTROL ,1,2005,HYPOCHAERIS GLABRA,0.5101
9,HASTINGS ,A ,ROBERTSON HOUSE ,9,0,0,0,0,CONTROL ,1,2005,BROMUS DIANDRUS,1.83
9,HASTINGS ,A ,ROBERTSON HOUSE ,9,0,0,0,0,CONTROL ,1,2007,UNSORTED BIOMASS,91.669998
9,HASTINGS ,A ,ROBERTSON HOUSE ,9,0,0,0,0,CONTROL ,1,2005,AVENA BARBATA,18.17
23,HASTINGS ,A ,ROBERTSON HOUSE ,23,0,0,0,0,+C ,0,2004,HYPOCHAERIS RADICATA,0.525
23,HASTINGS ,A ,ROBERTSON HOUSE ,23,0,0,0,0,+C ,0,2005,RUMEX SPECIES,1.8696
23,HASTINGS ,A ,ROBERTSON HOUSE ,23,0,0,0,0,+C ,0,2004,BROMUS HORDEACEUS,0.5221
23,HASTINGS ,A ,ROBERTSON HOUSE ,23,0,0,0,0,+C ,0,2006,BROMUS DIANDRUS,1.36
23,HASTINGS ,A ,ROBERTSON HOUSE ,23,0,0,0,0,+C ,0,2005,GILIA CLIVORUM,1.2363
23,HASTINGS ,A ,ROBERTSON HOUSE ,23,0,0,0,0,+C ,0,2006,SILENE GALLICA,0.026
23,HASTINGS ,A ,ROBERTSON HOUSE ,23,0,0,0,0,+C ,0,2006,LUPINUS SPECIES,0.0419
23,HASTINGS ,A ,ROBERTSON HOUSE ,23,0,0,0,0,+C ,0,2006,AIRA CARYOPHYLLEA,0.71
23,HASTINGS ,A ,ROBERTSON HOUSE ,23,0,0,0,0,+C ,0,2004,CLARKIA PURPUREA,0.004
23,HASTINGS ,A ,ROBERTSON HOUSE ,23,0,0,0,0,+C ,0,2005,LITTER,29.32
23,HASTINGS ,A ,ROBERTSON HOUSE ,23,0,0,0,0,+C ,0,2006,CERASTIUM GLOMERATUM,0.191
23,HASTINGS ,A ,ROBERTSON HOUSE ,23,0,0,0,0,+C ,0,2004,LITTER,39.610001
